02.04.2014	6,66	 —
03.04.2014	8,00	 —
04.04.2014	8,00	 —
07.04.2014	8,00	 —
08.04.2014	7,06	 —
09.04.2014	8,00	 —
10.04.2014	8,00	 —
11.04.2014	8,00	 —
14.04.2014	8,00	 —
15.04.2014	7,10	 —
16.04.2014	8,00	 —
17.04.2014	8,00	 —
18.04.2014	8,00	 —
21.04.2014	7,13	 —
22.04.2014	7,06	 —
23.04.2014	8,00	 —
24.04.2014	8,00	 —
25.04.2014	8,00	 —
28.04.2014	7,62	 —
29.04.2014	7,56	 —
30.04.2014	8,50	 —
05.05.2014	8,50	 —
06.05.2014	7,57	 —
07.05.2014	8,50	 —
08.05.2014	8,50	 —
12.05.2014	8,49	 —
13.05.2014	7,58	 —
14.05.2014	2,62	 —
15.05.2014	8,49	 —
16.05.2014	8,50	 —
19.05.2014	8,50	 —
20.05.2014	7,57	 —
21.05.2014	5,39	 —
22.05.2014	8,50	 —
23.05.2014	8,50	 —
26.05.2014	8,50	 —
27.05.2014	7,57	 —
28.05.2014	6,92	 —
29.05.2014	8,50	 —
30.05.2014	8,50	 —
02.06.2014	8,50	 —
03.06.2014	7,57	 —
04.06.2014	4,26	 —
05.06.2014	8,50	 —
06.06.2014	8,50	 —
09.06.2014	8,50	 —
10.06.2014	7,57	 —
11.06.2014	5,92	 —
